population,gate_level,token_role,metric,position_count,mean,standard_deviation,minimum,p25,median,p75,p95,maximum,analysis_id,model_id
ordinary_control,moderate,ordinary_control,entropy_bits,11488,1.2915715517111401,1.309668781378302,3.4200736756222607e-07,0.15602209098677453,1.0139880101791436,1.98564247363636,3.668334407020642,10.372945792839104,entropy_position_overall,
ordinary_control,moderate,ordinary_control,observed_rank,11488,1.5278551532033426,2.9950059467030337,1.0,1.0,1.0,1.0,3.0,168.0,entropy_position_overall,
ordinary_control,moderate,ordinary_control,token_surprisal_nats,11488,0.6054919515689173,0.8407440018732393,1.0772350123033902e-08,0.01805324427797217,0.23849272446743974,0.8890528305147019,2.3688655346644794,7.303454011387604,entropy_position_overall,
ordinary_control,moderate,ordinary_control,rank_pressure_log_probability_gap_nats,11488,0.20463992497549083,0.5380283848669525,0.0,0.0,0.0,0.0,1.471150207519531,4.9501848220825195,entropy_position_overall,
ordinary_control,strict,ordinary_control,entropy_bits,24722,1.1413664610404364,1.221210877619464,4.318860585003512e-08,0.07128799341246159,0.8469198141716303,1.8124239233016217,3.433307917301306,10.372945792839104,entropy_position_overall,
ordinary_control,strict,ordinary_control,observed_rank,24722,1.4272308065690478,2.311276757908735,1.0,1.0,1.0,1.0,3.0,168.0,entropy_position_overall,
ordinary_control,strict,ordinary_control,token_surprisal_nats,24722,0.5422181190851983,0.7966034972026269,1.28001431676239e-09,0.007181879295840687,0.1763836163800665,0.7821134686558002,2.2484546517260537,7.303454011387604,entropy_position_overall,
ordinary_control,strict,ordinary_control,rank_pressure_log_probability_gap_nats,24722,0.18791080504865595,0.5202014061140009,0.0,0.0,0.0,0.0,1.4241878509521477,5.548017501831055,entropy_position_overall,
ordinary_control,ungated,ordinary_control,entropy_bits,8367,1.3182256403284656,1.3779255165092137,3.4200736756222607e-07,0.1499886734595573,1.0101909356921162,2.012766751873488,3.8314995233118427,10.372945792839104,entropy_position_overall,
ordinary_control,ungated,ordinary_control,observed_rank,8367,1.585155969881678,3.448973633070913,1.0,1.0,1.0,1.0,3.0,168.0,entropy_position_overall,
ordinary_control,ungated,ordinary_control,token_surprisal_nats,8367,0.611653378101799,0.865166315602419,1.0772350123033902e-08,0.016471922527818705,0.22749744032082475,0.8961804589361684,2.395363724911355,7.303454011387604,entropy_position_overall,
ordinary_control,ungated,ordinary_control,rank_pressure_log_probability_gap_nats,8367,0.2054274445496481,0.5419253889293499,0.0,0.0,0.0,0.0,1.469160270690918,4.9501848220825195,entropy_position_overall,
rankcloak,moderate,ordinary_sampled_skip,entropy_bits,3121,0.4045750753632119,0.39592153874842684,2.7885352434795924e-07,0.034854556893198635,0.2847992693525341,0.7083447030853889,1.164471751759206,1.3606888512580493,entropy_position_overall,
rankcloak,moderate,ordinary_sampled_skip,observed_rank,3121,1.0285165011214354,0.17027695332426804,1.0,1.0,1.0,1.0,1.0,3.0,entropy_position_overall,
rankcloak,moderate,ordinary_sampled_skip,token_surprisal_nats,3121,0.11380143307967452,0.288785914011049,9.325987093689037e-09,0.0027737606292319583,0.033028912373371355,0.11081066663727412,0.3614659913624223,3.274747236195342,entropy_position_overall,
rankcloak,moderate,ordinary_sampled_skip,rank_pressure_log_probability_gap_nats,3121,0.03467593610153027,0.24269106686729866,0.0,0.0,0.0,0.0,0.0,3.129362106323242,entropy_position_overall,
rankcloak,moderate,payload,entropy_bits,8367,3.591352213114793,1.9478821657025742,0.8042338827140655,2.1002121702757295,3.1350024424451464,4.689029920969701,7.378646402078197,11.947823762664537,entropy_position_overall,
rankcloak,moderate,payload,observed_rank,8367,88.05521692362854,1380.6332241937982,1.0,4.0,7.0,10.0,103.39999999999964,95005.0,entropy_position_overall,
rankcloak,moderate,payload,token_surprisal_nats,8367,4.469421887566472,2.3346376183450883,0.12725902084585172,3.0574755723249645,3.9767375512704817,5.312878206413089,9.08615044802415,22.283354908106098,entropy_position_overall,
rankcloak,moderate,payload,rank_pressure_log_probability_gap_nats,8367,3.4275775975233285,2.470092465095676,0.0,1.7355360984802246,2.9849071502685547,4.580399990081787,8.092953300476072,20.665544986724854,entropy_position_overall,
