scenario_id,simulations,seed,stimuli_per_condition,ratings_per_stimulus,participant_slots,two_sided_alpha,common_odds_ratio,participant_sd,stimulus_sd,rejection_probability,monte_carlo_se,mean_observed_rating_difference,planning_method
null_calibration,2000,20260808,72,3,72,0.025,1.0,0.65,0.5,0.0175,0.002932,-0.004759,stimulus_cluster_welch_normal_approximation
small_effect,2000,20360811,72,3,72,0.025,1.25,0.65,0.5,0.1215,0.007305,0.232861,stimulus_cluster_welch_normal_approximation
planning_effect,2000,20460814,72,3,72,0.025,1.5,0.65,0.5,0.4195,0.011034,0.414157,stimulus_cluster_welch_normal_approximation
high_heterogeneity,2000,20560817,72,3,72,0.025,1.5,0.9,0.75,0.2745,0.009979,0.38,stimulus_cluster_welch_normal_approximation
fewer_stimuli,2000,20660820,48,3,72,0.025,1.5,0.65,0.5,0.2535,0.009727,0.410017,stimulus_cluster_welch_normal_approximation
more_stimuli,2000,20760823,96,3,72,0.025,1.5,0.65,0.5,0.5425,0.01114,0.412026,stimulus_cluster_welch_normal_approximation
