source_stage,runtime_scope,model_id,protocol_variant,hardware_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level
primary_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,15.946542760616163,9.253605100997083,14.217757204489317,240,2000,14.850856065343706,17.084494244135534,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,16.087628449712064,9.079540557528759,13.988197106475127,240,2000,15.017669790901556,17.208756139208894,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,1.6743677986331023,0.40945496021082034,1.804034919012338,480,2000,1.637116749064092,1.7116104338126328,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,3.5325457780349097,1.1503475809799653,3.9380904319987167,480,2000,3.4303603324458436,3.637370281822973,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,4.558495761763455,1.5491335612910353,5.098554945012438,480,2000,4.421248975609808,4.699171980700636,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,1.7620087380747766,0.5080649387794992,1.7743196860101307,240,2000,1.698522528786322,1.8261944550768627,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,10.478402173883781,5.759434625363895,9.441765864001354,240,2000,9.810233308874869,11.196055002656065,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,10.858661836447572,6.2253058950254765,9.62361248601519,240,2000,10.074554335259736,11.660671102918283,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,2.632108431095609,0.7266873574801205,2.7346710600104416,480,2000,2.5658268706278387,2.6991006136605953,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,7.480319131844226,2.6228076833420357,8.443153940010234,480,2000,7.242904728461011,7.714462666476705,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,9.847051753158363,3.4784370941430818,11.10018949098594,480,2000,9.537974174317277,10.155572128375116,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,3.4275554114871434,1.180851476802909,3.5436093544994947,240,2000,3.2847450524633346,3.5750412235911395,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,12.276814111313191,7.034634591322355,12.097100337487063,240,2000,11.44925570562484,13.133478347229362,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,11.881961572645984,6.1072253843103805,12.18692416799604,240,2000,11.129650957285829,12.646528796506534,2000,0.95
robustness_v2,robustness_transform_generation,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_seconds,payload,14.460004877388807,6.604178497002923,14.791356498821795,48,2000,12.730322761893657,16.35651939603163,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.005658320165113918,0.03756769130320957,0.0002341288721555701,48,2000,0.00022841964045278713,0.01650867294442337,2000,0.95
ablation_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00027488737936383345,0.00032181103679721374,0.00023547055157414518,48,2000,0.0002195079440174745,0.00037337475575422227,2000,0.95
ablation_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.008837192349599482,0.05962381323165676,0.00022836516169840357,48,2000,0.0002221920144670874,0.026057837986652607,2000,0.95
multilingual_v2,trial,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.8074017389250608,0.3431202916978969,0.8116233630280475,48,2000,0.710686581742857,0.9062949265070679,2000,0.95
multilingual_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00017941467134132785,8.921658003639166e-05,0.00015145825454965234,48,2000,0.00015560903052582549,0.00020450944172506756,2000,0.95
multilingual_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.9799562049217153,0.32576098305752854,1.097376372243161,48,2000,0.8873963543495847,1.0761574834926098,2000,0.95
multilingual_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.0001605984392275342,6.646440688078417e-05,0.00014014076441526413,48,2000,0.00014259215995480253,0.00017941347185414813,2000,0.95
multilingual_v2,trial,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.9708269894187348,0.31233765065202723,1.0516495915362607,48,2000,0.8818525766782538,1.0614099504161156,2000,0.95
multilingual_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00016874332141014284,8.433950880025462e-05,0.000138203744427301,48,2000,0.0001463907043822623,0.00019367902602117533,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.8004756364691274,0.3354279449153808,0.8299077110132203,480,2000,0.7704734599851236,0.8306702961426374,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00012260503281138295,5.171494162472266e-05,0.000116690483991988,480,2000,0.00011808354029349546,0.00012743205097193617,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00014258244209485181,6.102417306849908e-05,0.00013680748816291555,480,2000,0.00013714717559191954,0.00014841523061782168,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,5.058730421296972e-05,2.30716925258719e-05,4.605650610756129e-05,240,2000,4.781598461099116e-05,5.3711199731571364e-05,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00019671985101015385,7.583017150783399e-05,0.00016981201770338572,240,2000,0.00018706830671053648,0.00020649183707674668,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.0053720313194693834,0.08018408912550097,0.00016557351045776159,240,2000,0.00018797006897962266,0.015737366113884047,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.9716963642275611,0.3239584923880766,1.0706231264921375,480,2000,0.942796240243456,1.0008853414024876,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00013272763723456936,7.365424092220367e-05,0.00011829999857582152,480,2000,0.00012649107600279242,0.00013939351588607764,2000,0.95
